id;display_routes;garage
1;8;Birchmount
2;9;Birchmount
3;10;McNicoll
4;11;Eglinton
5;12;Birchmount
6;13;Wilson
7;14;Mount Dennis
8;15;Queensway
9;16;Birchmount
10;17;McNicoll
11;19;Birchmount
12;20;Birchmount
13;21;Birchmount
14;22;Birchmount
15;23;Birchmount
16;24;Birchmount
17;25;Eglinton
18;26;Queensway
19;28;Mount Dennis
20;29;Mount Dennis
21;30;Queensway
22;31;Birchmount
23;32;Mount Dennis
24;33;Wilson
25;34;Eglinton
26;35;Mount Dennis
27;36;Arrow
28;37;Queensway
29;38;Malvern
30;39;McNicoll
31;40;Queensway
32;41;Mount Dennis
33;42;McNicoll
34;43;McNicoll
35;44;Queensway
36;45;Mount Dennis
37;46;Queensway
38;47;Wilson
39;48;Queensway
40;49;Queensway
41;50;Queensway
42;51;McNicoll
43;52;Arrow
44;53;McNicoll
45;54;Eglinton
46;55;Queensway
47;56;Eglinton
48;57;McNicoll
49;59;Wilson
50;60;Wilson
51;61;Wilson
52;62;Birchmount
53;63;Wilson
54;64;Birchmount
55;65;Birchmount
56;66;Queensway
57;67;Eglinton
58;68;McNicoll
59;69;Birchmount
60;70;Birchmount
61;71;Mount Dennis
62;72;Birchmount
63;73;Queensway
64;74;Eglinton
65;75;Birchmount
66;76;Queensway
67;77;Queensway
68;78;Arrow
69;79;Mount Dennis
70;80;Queensway
71;81;Eglinton
72;82;Birchmount
73;83;Birchmount
74;84;Arrow
75;85;Malvern
76;86;Malvern
77;87;Birchmount
78;88;Eglinton
79;89;Wilson
80;90;Wilson
81;91;Eglinton
82;92;Birchmount
83;93;Eglinton
84;94;Birchmount
85;95;Malvern
86;96;Arrow
87;97;Wilson
88;98;Wilson
89;99;Arrow
90;100;Birchmount
91;101;Wilson
92;102;Malvern
93;104;Wilson
94;105;Wilson
95;106;Wilson
96;107;Wilson
97;108;Arrow
98;109;Wilson
99;110;Queensway
100;111;Queensway
101;112;Queensway
102;113;Birchmount
103;115;Arrow
104;116;Malvern
105;118;Wilson
106;119;Wilson
107;120;Arrow
108;121;Birchmount
109;122;Malvern
110;123;Queensway
111;124;Wilson
112;125;Wilson
113;126;Wilson
114;127;Queensway
115;128;Wilson
116;129;McNicoll
117;130;Malvern
118;131;Malvern
119;132;Malvern
120;133;Malvern
121;134;Malvern
122;135;Birchmount
123;141;Eglinton
124;142;Wilson
125;143;Birchmount
126;144;Eglinton
127;145;Queensway
128;160;Wilson
129;161;Mount Dennis
130;162;Eglinton
131;165;Arrow
132;167;McNicoll
133;168;Mount Dennis
134;169;Malvern
135;171;Mount Dennis
136;172;Eglinton
137;174;Mount Dennis
138;175;Eglinton
139;176;Queensway
140;184;Wilson
141;189;Queensway
142;200;Malvern
143;201;Eglinton
144;202;Eglinton
145;203;Queensway
146;300;Birchmount
147;300;Eglinton
148;300;Malvern
149;300;McNicoll
150;300;Mount Dennis
151;300;Queensway
152;300;Wilson
153;301;Mount Dennis
154;301;Queensway
155;301;Wilson
156;302;Malvern
157;304;Eglinton
158;306;Streetcar
159;307;Wilson
160;310;Streetcar
161;312;Wilson
162;315;Queensway
163;320;Birchmount
164;320;Eglinton
165;320;McNicoll
166;320;Mount Dennis
167;320;Wilson
168;322;Birchmount
169;324;Birchmount
170;325;Eglinton
171;329;Mount Dennis
172;332;Mount Dennis
173;334;Eglinton
174;335;Mount Dennis
175;336;Arrow
176;336;McNicoll
177;337;Queensway
178;339;Arrow
179;339;McNicoll
180;341;Mount Dennis
181;343;McNicoll
182;352;Arrow
183;353;McNicoll
184;354;Eglinton
185;363;Wilson
186;365;Birchmount
187;384;Arrow
188;385;Malvern
189;395;Malvern
190;396;Arrow
191;501;Wilson
192;503;Streetcar
193;504;Eglinton
194;505;Streetcar
195;506;Eglinton
196;507;Streetcar
197;508;Streetcar
198;509;Streetcar
199;510;Streetcar
200;511;Streetcar
201;512;Eglinton
202;512;Queensway
203;513;Eglinton
204;900;Queensway
205;902;Malvern
206;903;McNicoll
207;905;Malvern
208;913;Malvern
209;924;Birchmount
210;925;Eglinton
211;927;Arrow
212;929;Mount Dennis
213;935;Mount Dennis
214;937;Queensway
215;938;Malvern
216;939;McNicoll
217;941;Mount Dennis
218;943;McNicoll
219;944;Queensway
220;945;Mount Dennis
221;952;Arrow
222;953;McNicoll
223;954;Eglinton
224;960;Wilson
225;968;McNicoll
226;984;Arrow
227;985;Malvern
228;986;Malvern
229;989;Wilson
230;995;Malvern
231;996;Arrow
