routeNumber;routeName;artic
1;LINE 1 (YONGE-UNIVERSITY);FALSE
10;VAN HORNE;FALSE
100;FLEMINGDON PARK;FALSE
101;DOWNSVIEW PARK;FALSE
102;MARKHAM RD.;FALSE
104;FAYWOOD;FALSE
105;DUFFERIN NORTH;FALSE
106;SENTINEL;FALSE
107;YORK UNIVERSITY HEIGHTS;FALSE
108;DRIFTWOOD;FALSE
109;RANEE;FALSE
11;BAYVIEW;FALSE
110;ISLINGTON SOUTH;FALSE
111;EAST MALL;FALSE
112;WEST MALL;FALSE
113;DANFORTH ROAD;FALSE
115;SILVER HILLS;FALSE
116;MORNINGSIDE;FALSE
118;THISTLE DOWN;FALSE
119;TORBARRIE;FALSE
12;KINGSTON ROAD;FALSE
120;CALVINGTON;FALSE
121;ESPLANADE-RIVER;FALSE
122;GRAYDON HALL;FALSE
123;SHERWAY;FALSE
124;SUNNYBROOK;FALSE
125;DREWRY;FALSE
126;CHRISTIE;FALSE
127;DAVENPORT;FALSE
128;STANLEY GREENE;FALSE
129;MCCOWAN NORTH;FALSE
13;AVENUE ROAD;FALSE
130;MIDDLEFIELD;FALSE
131;NUGGET;FALSE
132;MILNER;FALSE
133;NEILSON;FALSE
134;PROGRESS;FALSE
135;GERRARD;FALSE
14;GLENCAIRN;FALSE
15;EVANS;FALSE
16;McCOWAN;FALSE
160;BATHURST NORTH;FALSE
161;ROGERS ROAD;FALSE
162;LAWRENCE-DONWAY;FALSE
165;WESTON RD. NORTH;FALSE
167;PHARMACY NORTH;FALSE
168;SYMINGTON;FALSE
169;HUNTINGWOOD;FALSE
17;BIRCHMOUNT;FALSE
171;MOUNT DENNIS;FALSE
176;MIMICO GO;FALSE
184;ANCASTER PARK;FALSE
189;STOCKYARDS;FALSE
19;BAY;FALSE
2;LINE 2 (BLOOR - DANFORTH);FALSE
20;CLIFFSIDE;FALSE
21;BRIMLEY;FALSE
22;COXWELL;FALSE
23;DAWES;FALSE
24;VICTORIA PARK;FALSE
25;DON MILLS;FALSE
26;DUPONT;FALSE
28;BAYVIEW SOUTH;FALSE
29;DUFFERIN;TRUE
30;HIGH PARK NORTH;FALSE
300;BLOOR-DANFORTH NIGHT BUS;FALSE
301;QUEEN;FALSE
302;KINGSTON RD-McCOWAN NIGHT BUS;FALSE
304;KING;FALSE
306;CARLTON;FALSE
307;BATHURST NIGHT BUS;TRUE
31;GREENWOOD;FALSE
310;SPADINA;FALSE
312;ST.CLAIR-JUNCTION NIGHT BUS;FALSE
315;EVANS - BROWN'S LINE NIGHT BUS;FALSE
32;EGLINTON WEST;FALSE
320;YONGE NIGHT BUS;TRUE
322;COXWELL NIGHT BUS;FALSE
324;VICTORIA PARK NIGHT BUS;FALSE
325;DON MILLS NIGHT BUS;FALSE
329;DUFFERIN NIGHT BUS;TRUE
33;FOREST HILL;FALSE
332;EGLINTON WEST NIGHT BUS;FALSE
334;EGLINTON EAST NIGHT BUS;FALSE
335;JANE NIGHT BUS;FALSE
336;FINCH WEST NIGHT BUS;TRUE
337;ISLINGTON NIGHT BUS;FALSE
339;FINCH EAST NIGHT BUS;TRUE
34;EGLINTON EAST;FALSE
341;KEELE NIGHT BUS;TRUE
343;KENNEDY NIGHT BUS;FALSE
35;JANE;FALSE
352;LAWRENCE WEST NIGHT BUS;FALSE
353;STEELES NIGHT BUS;FALSE
354;LAWRENCE EAST NIGHT BUS;FALSE
36;FINCH WEST;TRUE
363;OSSINGTON NIGHT BUS;FALSE
365;PARLIAMENT NIGHT BUS;FALSE
37;ISLINGTON;FALSE
38;HIGHLAND CREEK;FALSE
384;SHEPPARD WEST NIGHT BUS;FALSE
385;SHEPPARD EAST NIGHT BUS;FALSE
39;FINCH EAST;TRUE
395;YORK MILLS NIGHT BUS;FALSE
396;WILSON NIGHT BUS;FALSE
4;LINE 4 (SHEPPARD);FALSE
40;JUNCTION-DUNDAS WEST;FALSE
400;LAWRENCE MANOR;FALSE
402;PARKDALE;FALSE
403;DON MILLS SOUTH;FALSE
404;EAST YORK;FALSE
405;ETOBICOKE;FALSE
41;KEELE;TRUE
42;CUMMER;FALSE
43;KENNEDY;FALSE
44;KIPLING SOUTH;FALSE
45;KIPLING;FALSE
46;MARTIN GROVE;FALSE
47;LANSDOWNE;FALSE
48;RATHBURN;FALSE
49;BLOOR WEST;FALSE
50;BURNHAMTHORPE;FALSE
501;QUEEN;FALSE
503;KINGSTON RD;FALSE
504;KING;FALSE
505;DUNDAS;FALSE
506;CARLTON;FALSE
507;LONG BRANCH;FALSE
508;LAKE SHORE;FALSE
509;HARBOURFRONT;FALSE
51;LESLIE;FALSE
510;SPADINA;FALSE
511;BATHURST;FALSE
512;ST. CLAIR;FALSE
513;QUEEN EAST;FALSE
52;LAWRENCE WEST;FALSE
53;STEELES EAST;TRUE
54;LAWRENCE EAST;FALSE
55;WARREN PARK;FALSE
56;LEASIDE;FALSE
57;MIDLAND;FALSE
59;MAPLE LEAF;FALSE
60;STEELES WEST;TRUE
61;AVENUE ROAD NORTH;FALSE
62;MORTIMER;FALSE
63;OSSINGTON;FALSE
64;MAIN;FALSE
65;PARLIAMENT;FALSE
66;PRINCE EDWARD;FALSE
67;PHARMACY;FALSE
68;WARDEN;FALSE
69;WARDEN SOUTH;FALSE
7;BATHURST;TRUE
70;O'CONNOR;FALSE
71;RUNNYMEDE;FALSE
72;PAPE;FALSE
73;ROYAL YORK;FALSE
74;MOUNT PLEASANT;FALSE
75;SHERBOURNE;FALSE
76;ROYAL YORK SOUTH;FALSE
77;SWANSEA;FALSE
78;ST. ANDREWS;FALSE
79;SCARLETT RD.;FALSE
8;BROADVIEW;FALSE
80;QUEENSWAY;FALSE
81;THORNCLIFFE PARK;FALSE
82;ROSEDALE;FALSE
83;JONES;FALSE
84;SHEPPARD WEST;FALSE
85;SHEPPARD EAST;FALSE
86;SCARBOROUGH;FALSE
87;COSBURN;FALSE
88;SOUTH LEASIDE;FALSE
89;WESTON;TRUE
9;BELLAMY;FALSE
90;VAUGHAN;FALSE
900;AIRPORT EXPRESS;FALSE
902;MARKHAM RD EXPRESS;FALSE
903;KENNEDY-SCARBOROUGH CENTRE EXPRESS;TRUE
905;EGLINTON EAST EXPRESS;TRUE
91;WOODBINE;FALSE
913;PROGRESS EXPRESS;FALSE
92;WOODBINE SOUTH;FALSE
924;VICTORIA PARK EXPRESS;FALSE
925;DON MILLS EXPRESS;FALSE
927;HIGHWAY 27 EXPRESS;FALSE
929;DUFFERIN EXPRESS;TRUE
93;PARKVIEW HILLS;FALSE
935;JANE EXPRESS;FALSE
937;ISLINGTON EXPRESS;FALSE
938;HIGHLAND CREEK EXPRESS;FALSE
939;FINCH EXPRESS;FALSE
94;WELLESLEY;FALSE
941;KEELE EXPRESS;TRUE
943;KENNEDY EXPRESS;FALSE
944;KIPLING SOUTH EXPRESS;FALSE
945;KIPLING EXPRESS;FALSE
95;YORK MILLS;FALSE
952;LAWRENCE WEST EXPRESS;FALSE
953;STEELES EAST EXPRESS;TRUE
954;LAWRENCE EAST EXPRESS;FALSE
96;WILSON;FALSE
960;STEELES WEST EXPRESS;FALSE
968;WARDEN EXPRESS;FALSE
97;YONGE;FALSE
98;WILLOWDALE-SENLAC;FALSE
984;SHEPPARD WEST EXPRESS;FALSE
985;SHEPPARD EAST EXPRESS;TRUE
986;SCARBOROUGH EXPRESS;FALSE
989;WESTON EXPRESS;FALSE
99;ARROW ROAD;FALSE
995;YORK MILLS EXPRESS;FALSE
996;WILSON EXPRESS;FALSE
